,actual_return,expected_rel,expected_abs,delta_rel,delta_abs,r_squared,residual_vol,confidence_delta
ETN,-0.0033338217887033395,-0.0008315839395731303,-0.0003666646724038062,0.002502237849130209,0.002967157116299533,0.6926408213252235,0.16525845499656674,0.0017331520789726086
GWW,-0.010557910858856712,-0.0017040592424837138,0.0012784118302178692,0.008853851616372997,0.01183632268907458,0.1923336662855869,0.18880913720785425,0.0017028937421255882
UNH,-0.005803469604442668,-0.0023801898541406965,-0.0001841534215199247,0.0034232797503019716,0.005619316182922744,0.48657719129759436,0.17328099932724828,0.0016656898459278635
ABBV,-0.004162299967002014,0.00011742431330177583,0.004220714768248615,0.00427972428030379,0.008383014735250629,0.3588759284915166,0.1277717784155777,0.0015358900247817104
DAL,-0.00012116022663066772,0.001908856320349413,-0.0003187456245510982,0.002030016546980081,-0.00019758539792043045,0.7266337428882891,0.33344971105986065,0.0014750785216572965
HSY,-0.015276058715983365,-0.0016047111407615506,0.00047584568030982163,0.013671347575221815,0.015751904396293186,0.08203109642621442,0.20827463419205747,0.0011214756312193134
MA,0.00046584503560120893,0.001893191396064931,0.0011596517449147725,0.0014273463604637221,0.0006938067093135636,0.7346603758230861,0.17754837899971457,0.0010486148136079922
GD,-0.006132462698477781,-0.0036149266506751276,0.0007810713593511256,0.0025175360478026532,0.006913534057828906,0.3435159177671625,0.21977713694139786,0.0008648137059728435
ICE,-0.0030343691097911574,-0.000751896804062117,0.0012269074710378886,0.0022824723057290404,0.004261276580829046,0.29709901632221924,0.2457110174730977,0.0006781202768148056
XOM,-0.011567856078975258,-0.010874437363569602,-0.009001583688466866,0.0006934187154056561,0.0025662723905083926,0.7667228283920606,0.180784033229787,0.0005316599587358139
BLK,0.0003726883697665606,1.0066441741096035e-05,0.00039694566837437364,-0.00036262192802546456,2.4257298607813032e-05,0.8076878459261271,0.14697494503395675,-0.00029288532393246657
V,0.004339046288857951,0.0019361917966740974,0.0019113167731989774,-0.002402854492183853,-0.002427729515658973,0.7625967778676386,0.1504926651147695,-0.0018324090934241871
LRCX,0.0005660147037145347,-0.001807681805596969,-0.0035329238130381926,-0.0023736965093115034,-0.004098938516752727,0.7745399525871279,0.2529168612508959,-0.001838522781778363
ISRG,0.0023841790099461413,-0.0016015344292708525,-7.274110687118451e-05,-0.003985713439216994,-0.002456920116817326,0.4762449352385073,0.30181855346504516,-0.0018981758387391454
AMAT,0.0008450562377733117,-0.002035058832349498,-0.002344840234671258,-0.00288011507012281,-0.00318989647244457,0.6592669580309432,0.2890295256885963,-0.0018987647010589414
CVX,-0.003114200236197351,-0.008145554918243559,-0.001843160402302554,-0.005031354682046208,0.0012710398338947968,0.5490879886765461,0.22133634947404676,-0.0027626564226830752
AXP,0.004284101689623343,0.00022493006820745488,-0.0002624398279884491,-0.004059171621415888,-0.004546541517611792,0.6844938655395769,0.24607258982581676,-0.002778478074031513
ASML,0.0043530456723905875,0.00037977093018658794,0.0021774774724413522,-0.003973274742203999,-0.0021755681999492352,0.728762315410896,0.2843525474486045,-0.0028955729008922175
OXY,-0.012037659287902791,-0.018181976427638642,-0.007115845529898615,-0.006144317139735851,0.004921813758004176,0.4964564017960853,0.5589485296927985,-0.0030503855786872753
CDNS,0.0028888232035138017,-0.003587182254602254,-0.00044366563417616795,-0.0064760054581160555,-0.0033324888376899697,0.5011178782049992,0.3244710291539016,-0.0032452421144151117
RTX,0.003911471401324862,-0.002673102882477024,-0.000621076062641686,-0.006584574283801886,-0.004532547463966548,0.6021541181672454,0.17664388499758896,-0.003964928521369446
EW,0.005933017003982188,-0.0005903533668117357,0.0013632488045993022,-0.006523370370793924,-0.004569768199382886,0.6284407628432782,0.23074257313707222,-0.0040995518521309724
LHX,0.0012707093780912615,-0.006344940391332013,-0.0012412067669150184,-0.007615649769423275,-0.00251191614500628,0.5401517599647289,0.2845598333980152,-0.004113606626228963
MCO,0.006215978947919032,-0.0014883945986861875,-0.0022545015502897074,-0.00770437354660522,-0.008470480498208739,0.5745654773380293,0.19499666753598094,-0.004426667064395714
DHR,0.011293767541313615,0.0005907115680278633,0.0023206304833320326,-0.010703055973285752,-0.008973137057981582,0.5751573129512526,0.18749251564049266,-0.006155940913961887
SPGI,0.015131218720175976,-0.00299508661715617,-0.0012002481818016093,-0.018126305337332147,-0.016331466901977586,0.35662661442343047,0.2341321548025223,-0.006464322904458121
NOC,0.007849263925524541,-0.00591088388705681,-0.0003819724871262321,-0.013760147812581352,-0.008231236412650774,0.507898803056543,0.3017602712601535,-0.006988762603891177
ROP,0.018076618543539924,-0.0007013108934161636,0.001683546013323847,-0.018777929436956088,-0.016393072530216077,0.38547256089858706,0.15781068096016876,-0.007238376548436426
FIS,0.018237812304612078,-0.00019348774860312846,-0.0031538586201235066,-0.018431300053215208,-0.021391670924735585,0.39701402545017406,0.32992439993039085,-0.007317484628406977
TMO,0.010857535675194097,-0.0006692329455276045,0.00022780484034231284,-0.011526768620721701,-0.010629730834851784,0.6511102414620162,0.15498610403093863,-0.007505197099914898
HON,0.020858371718247115,-0.0016328542721615648,-0.0006242590675346177,-0.02249122599040868,-0.021482630785781734,0.6843082641780514,0.13864162798276006,-0.015390931816732838
QCOM,0.03177282748837462,-0.005028195198206089,-0.008229102219749443,-0.03680102268658071,-0.040001929708124065,0.6475688101827035,0.30065660900722474,-0.023831194474655752
PLTR,0.0920887211209791,-0.005968530283233732,-0.004154511709049628,-0.09805725140421283,-0.09624323283002872,0.24958462879534182,0.7352331021096301,-0.02447358269241197
CRWD,0.08941877794336817,-0.004482914830325932,0.0020371359834147236,-0.0939016927736941,-0.08738164195995345,0.31616882188665707,0.6537519592317673,-0.029688787577421685
INTU,0.059201274055261655,-0.0010104819580889208,-0.005416074769792181,-0.060211756013350576,-0.06461734882505384,0.5293942434328947,0.34009340573548286,-0.031875757020453775
ADBE,0.07360002002147259,-0.0003298438044366353,-0.0019477083454156338,-0.07392986382590923,-0.07554772836688822,0.5116765484655668,0.3614178530180587,-0.03782817755097059
MSFT,0.05445092515456418,0.0001806514978684182,0.001031092595652244,-0.05427027365669576,-0.05341983255891193,0.7030507955741819,0.18142931631359235,-0.03815475907036852
FTNT,0.06376256335427022,-0.004877680261550322,-0.0025312836066196578,-0.06864024361582054,-0.06629384696088987,0.5585986684735571,0.44107182584734306,-0.03834234868749793
PANW,0.09279595937161522,-0.0037122124409355757,0.0014092959303074054,-0.0965081718125508,-0.09138666344130782,0.461034901037639,0.40157441873178357,-0.044493635440922816
CRM,0.08474773281346448,-0.0019164497106631349,-0.0018629923918779714,-0.08666418252412762,-0.08661072520534245,0.5960168349671864,0.29532437466280803,-0.05165331177304909
ORCL,0.10839470869832635,0.0003042284654227946,0.0010411523158339842,-0.10809048023290355,-0.10735355638249236,0.579484461446433,0.20569993953396637,-0.06263675372525042
NOW,0.14384253570108152,-0.001698006203249386,-0.0028078892253333787,-0.1455405419043309,-0.1466504249264149,0.6047856141069882,0.3760877281502118,-0.08802082601307462
